city,latitude,longitude
Belgrade,44.82,20.46
Novi Sad,45.26,19.83
Niš,43.32,21.90
Kragujevac,44.01,20.91
Subotica,46.10,19.66
Berlin,52.52,13.41
Paris,48.85,2.35
Rome,41.90,12.50
Madrid,40.42,-3.70
Lisbon,38.72,-9.14
London,51.50,-0.12
Dublin,53.35,-6.26
Vienna,48.21,16.37
Prague,50.08,14.43
Budapest,47.50,19.04
Warsaw,52.23,21.01
Athens,37.98,23.72
Istanbul,41.01,28.97
Cairo,30.04,31.23
Cape Town,-33.92,18.42
New York,40.71,-74.01
Los Angeles,34.05,-118.24
Chicago,41.88,-87.63
Toronto,43.65,-79.38
Vancouver,49.28,-123.12
Mexico City,19.43,-99.13
Rio de Janeiro,-22.90,-43.20
Buenos Aires,-34.60,-58.38
Santiago,-33.45,-70.66
Lima,-12.04,-77.03
Bogota,4.71,-74.07
Tokyo,35.68,139.69
Seoul,37.56,126.98
Beijing,39.90,116.40
Shanghai,31.23,121.47
Delhi,28.61,77.20
Mumbai,19.07,72.87
Bangkok,13.75,100.50
Singapore,1.35,103.82
Sydney,-33.86,151.21
Melbourne,-37.81,144.96
Auckland,-36.85,174.76
Moscow,55.75,37.62
Kyiv,50.45,30.52
Oslo,59.91,10.75
Stockholm,59.33,18.06
Helsinki,60.17,24.94
Copenhagen,55.68,12.57
Reykjavik,64.14,-21.94
Zurich,47.37,8.54
Brussels,50.85,4.35
Amsterdam,52.37,4.90
Luxembourg,49.61,6.13
Monaco,43.73,7.42
Andorra,42.51,1.52
San Marino,43.94,12.45
Doha,25.29,51.53
Dubai,25.20,55.27
Riyadh,24.71,46.67
Tehran,35.69,51.39
Baghdad,33.31,44.36
Jerusalem,31.77,35.21
Ankara,39.93,32.85
Karachi,24.86,67.01
Jakarta,-6.21,106.85
Manila,14.60,120.98
Hanoi,21.03,105.85
Kuala Lumpur,3.14,101.69
Kathmandu,27.71,85.32
Colombo,6.93,79.85
Nairobi,-1.29,36.82
Lagos,6.52,3.38
Accra,5.60,-0.19
Casablanca,33.57,-7.59
Algiers,36.75,3.04
Tunis,36.80,10.18
Tripoli,32.89,13.19
Khartoum,15.50,32.56
Addis Ababa,8.98,38.79
Dar es Salaam,-6.79,39.28
Kigali,-1.94,30.06
Harare,-17.82,31.05
Perth,-31.95,115.86
Brisbane,-27.47,153.03
Adelaide,-34.93,138.60
Honolulu,21.31,-157.86
Anchorage,61.22,-149.90
Reykjanes,63.99,-22.55
Tbilisi,41.72,44.79
Yerevan,40.18,44.51
Baku,40.41,49.87
